CampusArea,Building,Single,DoubleRA,AptFor2,Double,AptFor3,4Suite,6Suite
The Quad,Burton,30,0,0,30,0,0,0
The Quad,Crosby,50,0,0,50,0,0,0
The Quad,Lovejoy,50,0,0,50,0,0,0
Jackson Court,Anderson,0,2,2,0,0,12,35
Jackson Court,Wilder,0,2,2,0,0,12,35
Jackson Court,O'Brien,50,0,0,32,0,10,0
Hill Court (Phase),Chambers,0,0,0,0,0,1,15
Hill Court (Phase),Fairchild,0,0,0,0,0,0,16
Hill Court (Phase),Gate,0,0,0,0,0,0,16
Hill Court (Phase),Kendrick,0,0,0,0,0,1,15
Hill Court (Phase),Munro,0,0,0,0,0,1,15
Hill Court (Phase),Slater,0,0,0,0,0,1,15
Southside,deKiewiet Tower,0,0,46,0,40,0,0
Southside,Valentine Tower,0,0,46,0,40,0,0
Southside,Maisonettes,0,0,86,0,0,0,0
Riviewview Apartments,A,0,0,50,0,1,20,0
Riviewview Apartments,B,0,0,50,0,1,20,0
Riviewview Apartments,C,0,0,50,0,0,20,0
Riviewview Apartments,D,0,0,50,0,0,20,0
Riviewview Apartments,E,0,0,50,0,0,20,0
ADP,ADP,10,0,0,10,0,0,0
Psi U,Psi U,10,0,0,10,0,0,0
